exam_category,exam_type,quiz_id,quiz_title,most_vote,correct,A,B,C,D,E,F,G,H,I
examtopics,CLF-01,11,A company wants to review its monthly costs of using Amazon EC2 and Amazon RDS for the past year.Which AWS service or tool provides this information?,B,B,AWS Trusted Advisor,Cost Explorer,Amazon Forecast,Amazon CloudWatch,,,,,
examtopics,CLF-01,12,A company wants to migrate a critical application to AWS. The application has a short runtime. The application is invoked by changes in data or by shifts in system state. The company needs a compute solution that maximizes operational efficiency and minimizes the cost of running the application.Which AWS solution should the company use to meet these requirements?,B,B,Amazon EC2 On-Demand Instances,AWS Lambda,Amazon EC2 Reserved Instances,Amazon EC2 Spot Instances,,,,,
examtopics,CLF-01,13,Which AWS service or feature allows users to connect with and deploy AWS services programmatically?,D,D,AWS Management Console,AWS Cloud9,AWS CodePipeline,AWS software development kits (SDKs),,,,,
examtopics,CLF-01,14,A company plans to create a data lake that uses Amazon S3.Which factor will have the MOST effect on cost?,A,A,The selection of S3 storage tiers,Charges to transfer existing data into Amazon S3,The addition of S3 bucket policies,S3 ingest fees for each request,,,,,
examtopics,CLF-01,15,A company is launching an ecommerce application that must always be available. The application will run on Amazon EC2 instances continuously for the next12 months.What is the MOST cost-effective instance purchasing option that meets these requirements?,B,B,Spot Instances,Savings Plans,Dedicated Hosts,On-Demand Instances,,,,,
examtopics,CLF-01,16,Which AWS service or feature can a company use to determine which business unit is using specific AWS resources?,A,A,Cost allocation tags,Key pairs,Amazon Inspector,AWS Trusted Advisor,,,,,
examtopics,CLF-01,17,"A company wants to migrate its workloads to AWS, but it lacks expertise in AWS Cloud computing.Which AWS service or feature will help the company with its migration?",BD,D,AWS Trusted Advisor,AWS Consulting Partners,AWS Artifacts,AWS Managed Services,,,,,
examtopics,CLF-01,18,Which AWS service or tool should a company use to centrally request and track service limit increases?,B,B,AWS Config,Service Quotas,AWS Service Catalog,AWS Budgets,,,,,
examtopics,CLF-01,19,Which documentation does AWS Artifact provide?,B,B,Amazon EC2 terms and conditions,AWS ISO certifications,A history of a company's AWS spending,A list of previous-generation Amazon EC2 instance types,,,,,
examtopics,CLF-01,20,Which task requires using AWS account root user credentials?,B,B,Viewing billing information,Changing the AWS Support plan,Starting and stopping Amazon EC2 instances,Opening an AWS Support case,,,,,
examtopics,CLF-01,21,A company needs to simultaneously process hundreds of requests from different users.Which combination of AWS services should the company use to build an operationally efficient solution?,A,B,Amazon Simple Queue Service (Amazon SQS) and AWS Lambda,AWS Data Pipeline and Amazon EC2,Amazon Kinesis and Amazon Athena,AWS Amplify and AWS AppSync,,,,,
examtopics,CLF-01,22,What is the scope of a VPC within the AWS network?,D,D,A VPC can span all Availability Zones globally.,A VPC must span at least two subnets in each AWS Region.,A VPC must span at least two edge locations in each AWS Region.,A VPC can span all Availability Zones within an AWS Region.,,,,,
examtopics,CLF-01,23,Which of the following are components of an AWS Site-to-Site VPN connection? (Choose two.),BD,BD,AWS Storage Gateway,Virtual private gateway,NAT gateway,Customer gateway,Internet gateway,,,,
examtopics,CLF-01,24,A company needs to establish a connection between two VPCs. The VPCs are located in two different AWS Regions. The company wants to use the existing infrastructure of the VPCs for this connection.Which AWS service or feature can be used to establish this connection?,B,B,AWS Client VPN,VPC peering,AWS Direct Connect,VPC endpoints,,,,,
examtopics,CLF-01,25,"According to the AWS shared responsibility model, what responsibility does a customer have when using Amazon RDS to host a database?",AC,A,Manage connections to the database,Install Microsoft SQL Server,Design encryption-at-rest strategies,Apply minor database patches,,,,,
examtopics,CLF-01,26,What are some advantages of using Amazon EC2 instances to host applications in the AWS Cloud instead of on premises? (Choose two.),BDE,DE,EC2 includes operating system patch management.,"EC2 integrates with Amazon VPC, AWS CloudTrail, and AWS Identity and Access Management (IAM).",EC2 has a 100% service level agreement (SLA).,"EC2 has a flexible, pay-as-you-go pricing model.",EC2 has automatic storage cost optimization.,,,,
examtopics,CLF-01,27,A user needs to determine whether an Amazon EC2 instance's security groups were modified in the last month.How can the user see if a change was made?,C,C,Use Amazon EC2 to see if the security group was changed.,Use AWS Identity and Access Management (IAM) to see which user or role changed the security group.,Use AWS CloudTrail to see if the security group was changed.,Use Amazon CloudWatch to see if the security group was changed.,,,,,
examtopics,CLF-01,28,Which AWS service will help protect applications running on AWS from DDoS attacks?,C,C,Amazon GuardDuty,AWS WAF,AWS Shield,Amazon Inspector,,,,,
examtopics,CLF-01,29,Which AWS service or feature acts as a firewall for Amazon EC2 instances?,D,D,Network ACL,Elastic network interface,Amazon VPC,Security group,,,,,
examtopics,CLF-01,30,How does the AWS Cloud pricing model differ from the traditional on-premises storage pricing model?,BC,B,AWS resources do not incur costs,There are no infrastructure operating costs,There are no upfront cost commitments,There are no software licensing costs,,,,,
examtopics,CLF-01,31,A company has a single Amazon EC2 instance. The company wants to adopt a highly available architecture.What can the company do to meet this requirement?,B,B,Scale vertically to a larger EC2 instance size.,Scale horizontally across multiple Availability Zones.,Purchase an EC2 Dedicated Instance.,Change the EC2 instance family to a compute optimized instance.,,,,,
examtopics,CLF-01,32,"A company's on-premises application deployment cycle was 3-4 weeks. After migrating to the AWS Cloud, the company can deploy the application in 2-3 days.Which benefit has this company experienced by moving to the AWS Cloud?",C,A,Elasticity,Flexibility,Agility,Resilience,,,,,
examtopics,CLF-01,33,Which of the following are included in AWS Enterprise Support? (Choose two.),AD,AD,AWS technical account manager (TAM),AWS partner-led support,AWS Professional Services,Support of third-party software integration to AWS,5-minute response time for critical issues,,,,
examtopics,CLF-01,34,A global media company uses AWS Organizations to manage multiple AWS accounts.Which AWS service or feature can the company use to limit the access to AWS services for member accounts?,B,C,AWS Identity and Access Management (IAM),Service control policies (SCPs),Organizational units (OUs),Access control lists (ACLs),,,,,
examtopics,CLF-01,35,A company wants to limit its employees' AWS access to a portfolio of predefined AWS resources.Which AWS solution should the company use to meet this requirement?,C,C,AWS Config,AWS software development kits (SDKs),AWS Service Catalog,AWS AppSync,,,,,
examtopics,CLF-01,36,"An online company was running a workload on premises and was struggling to launch new products and features. After migrating the workload to AWS, the company can quickly launch products and features and can scale its infrastructure as required.Which AWS Cloud value proposition does this scenario describe?",A,A,Business agility,High availability,Security,Centralized auditing,,,,,
examtopics,CLF-01,37,Which of the following are advantages of the AWS Cloud? (Choose two.),BC,BC,AWS management of user-owned infrastructure,Ability to quickly change required capacity,High economies of scale,Increased deployment time to market,Increased fixed expenses,,,,
examtopics,CLF-01,38,AWS has the ability to achieve lower pay-as-you-go pricing by aggregating usage across hundreds of thousands of users.This describes which advantage of the AWS Cloud?,C,C,Launch globally in minutes,Increase speed and agility,High economies of scale,No guessing about compute capacity,,,,,
examtopics,CLF-01,39,A company has a database server that is always running. The company hosts the server on Amazon EC2 instances. The instance sizes are suitable for the workload. The workload will run for 1 year.Which EC2 instance purchasing option will meet these requirements MOST cost-effectively?,A,A,Standard Reserved Instances,On-Demand Instances,Spot Instances,Convertible Reserved Instances,,,,,
examtopics,CLF-01,40,A company is developing a mobile app that needs a high-performance NoSQL database.Which AWS services could the company use for this database? (Choose two.),DE,BE,Amazon Aurora,Amazon RDS,Amazon Redshift,Amazon DocumentDB (with MongoDB compatibility),Amazon DynamoDB,,,,
examtopics,CLF-01,41,"Which tasks are the responsibility of AWS, according to the AWS shared responsibility model? (Choose two.)",BD,BD,Patch the Amazon EC2 guest operating system.,Upgrade the firmware of the network infrastructure.,Apply password rotation for IAM users.,Maintain the physical security of edge locations.,Maintain least privilege access to the root user account.,,,,
examtopics,CLF-01,42,Which of the following are features of network ACLs as they are used in the AWS Cloud? (Choose two.),AD,AD,They are stateless.,They are stateful.,They evaluate all rules before allowing traffic.,"They process rules in order, starting with the lowest numbered rule, when deciding whether to allow traffic.",They operate at the instance level.,,,,
examtopics,CLF-01,43,A company has designed its AWS Cloud infrastructure to run its workloads effectively. The company also has protocols in place to continuously improve supporting processes.Which pillar of the AWS Well-Architected Framework does this scenario represent?,D,D,Security,Performance efficiency,Cost optimization,Operational excellence,,,,,
examtopics,CLF-01,44,Which AWS service or feature can be used to create a private connection between an on-premises workload and an AWS Cloud workload?,C,D,Amazon Route 53,Amazon Macie,AWS Direct Connect,AWS PrivateLink,,,,,
examtopics,CLF-01,45,A company needs to graphically visualize AWS billing and usage over time. The company also needs information about its AWS monthly costs.Which AWS Billing and Cost Management tool provides this data in a graphical format?,B,B,AWS Bills,Cost Explorer,AWS Cost and Usage Report,AWS Budgets,,,,,
examtopics,CLF-01,46,"A company wants to run production workloads on AWS. The company needs concierge service, a designated AWS technical account manager (TAM), and technical support that is available 24 hours a day, 7 days a week.Which AWS Support plan will meet these requirements?",B,B,AWS Basic Support,AWS Enterprise Support,AWS Business Support,AWS Developer Support,,,,,
examtopics,CLF-01,47,Which architecture design principle describes the need to isolate failures between dependent components in the AWS Cloud?,D,D,Use a monolithic design.,Design for automation.,Design for single points of failure.,Loosely couple components.,,,,,
examtopics,CLF-01,48,Which AWS services are managed database services? (Choose two.),CE,CE,Amazon Elastic Block Store (Amazon EBS),Amazon S3,Amazon RDS,Amazon Elastic File System (Amazon EFS),Amazon DynamoDB,,,,
examtopics,CLF-01,49,A company is using the AWS Free Tier for several AWS services for an application.What will happen if the Free Tier usage period expires or if the application use exceeds the Free Tier usage limits?,A,A,The company will be charged the standard pay-as-you-go service rates for the usage that exceeds the Free Tier usage.,AWS Support will contact the company to set up standard service charges.,"The company will be charged for the services it consumed during the Free Tier period, plus additional charges for service consumption after the Free Tier period.",The company's AWS account will be frozen and can be restarted after a payment plan is established.,,,,,
examtopics,CLF-01,50,A company recently deployed an Amazon RDS instance in its VPC. The company needs to implement a stateful firewall to limit traffic to the private corporate network.Which AWS service or feature should the company use to limit network traffic directly to its RDS instance?,B,C,Network ACLs,Security groups,AWS WAF,Amazon GuardDuty,,,,,
examtopics,CLF-01,51,"Which AWS service uses machine learning to help discover, monitor, and protect sensitive data that is stored in Amazon S3 buckets?",B,B,AWS Shield,Amazon Macie,AWS Network Firewall,Amazon Cognito,,,,,
examtopics,CLF-01,52,A company wants to improve the overall availability and performance of its applications that are hosted on AWS.Which AWS service should the company use?,C,C,Amazon Connect,Amazon Lightsail,AWS Global Accelerator,AWS Storage Gateway,,,,,
examtopics,CLF-01,53,Which AWS service or feature identifies whether an Amazon S3 bucket or an IAM role has been shared with an external entity?,C,C,AWS Service Catalog,AWS Systems Manager,AWS IAM Access Analyzer,AWS Organizations,,,,,
examtopics,CLF-01,54,"A company does not want to rely on elaborate forecasting to determine its usage of compute resources. Instead, the company wants to pay only for the resources that it uses. The company also needs the ability to increase or decrease its resource usage to meet business requirements.Which pillar of the AWS Well-Architected Framework aligns with these requirements?",D,D,Operational excellence,Security,Reliability,Cost optimization,,,,,
examtopics,CLF-01,55,A company wants to launch its workload on AWS and requires the system to automatically recover from failure.Which pillar of the AWS Well-Architected Framework includes this requirement?,D,D,Cost optimization,Operational excellence,Performance efficiency,Reliability,,,,,
examtopics,CLF-01,56,A large enterprise with multiple VPCs in several AWS Regions around the world needs to connect and centrally manage network connectivity between its VPCs.Which AWS service or feature meets these requirements?,B,B,AWS Direct Connect,AWS Transit Gateway,AWS Site-to-Site VPN,VPC endpoints,,,,,
examtopics,CLF-01,57,Which AWS service supports the creation of visual reports from AWS Cost and Usage Report data?,B,A,Amazon Athena,Amazon QuickSight,Amazon CloudWatch,AWS Organizations,,,,,
examtopics,CLF-01,58,Which AWS service should be used to monitor Amazon EC2 instances for CPU and network utilization?,C,C,Amazon Inspector,AWS CloudTrail,Amazon CloudWatch,AWS Config,,,,,
examtopics,CLF-01,59,"A company is preparing to launch a new web store that is expected to receive high traffic for an upcoming event. The web store runs only on AWS, and the company has an AWS Enterprise Support plan.Which AWS resource will provide guidance about how the company should scale its architecture and operational support during the event?",C,B,AWS Abuse team,The designated AWS technical account manager (TAM),AWS infrastructure event management,AWS Professional Services,,,,,
examtopics,CLF-01,60,A user wants to deploy a service to the AWS Cloud by using infrastructure-as-code (IaC) principles.Which AWS service can be used to meet this requirement?,B,B,AWS Systems Manager,AWS CloudFormation,AWS CodeCommit,AWS Config,,,,,
examtopics,CLF-01,61,"A company that has multiple business units wants to centrally manage and govern its AWS Cloud environments. The company wants to automate the creation ofAWS accounts, apply service control policies (SCPs), and simplify billing processes.Which AWS service or tool should the company use to meet these requirements?",A,A,AWS Organizations,Cost Explorer,AWS Budgets,AWS Trusted Advisor,,,,,
examtopics,CLF-01,62,"Which IT controls do AWS and the customer share, according to the AWS shared responsibility model? (Choose two.)",BC,BC,Physical and environmental controls,Patch management,Cloud awareness and training,Zone security,Application data encryption,,,,
examtopics,CLF-01,63,A company is launching an application in the AWS Cloud. The application will use Amazon S3 storage. A large team of researchers will have shared access to the data. The company must be able to recover data that is accidentally overwritten or deleted.Which S3 feature should the company turn on to meet this requirement?,B,B,Server access logging,S3 Versioning,S3 Lifecycle rules,Encryption in transit and at rest,,,,,
examtopics,CLF-01,64,A manufacturing company has a critical application that runs at a remote site that has a slow internet connection. The company wants to migrate the workload toAWS. The application is sensitive to latency and interruptions in connectivity. The company wants a solution that can host this application with minimum latency.Which AWS service or feature should the company use to meet these requirements?,BD,B,Availability Zones,AWS Local Zones,AWS Wavelength,AWS Outposts,,,,,
examtopics,CLF-01,65,A company wants to migrate its applications from its on-premises data center to a VPC in the AWS Cloud. These applications will need to access on-premises resources.Which actions will meet these requirements? (Choose two.),BD,AD,Use AWS Service Catalog to identify a list of on-premises resources that can be migrated.,Create a VPN connection between an on-premises device and a virtual private gateway in the VPC.,Use an Amazon CloudFront distribution and configure it to accelerate content delivery close to the on-premises resources.,Set up an AWS Direct Connect connection between the on-premises data center and AWS.,Use Amazon CloudFront to restrict access to static web content provided through the on-premises web servers.,,,,
examtopics,CLF-01,66,A company wants to use the AWS Cloud to provide secure access to desktop applications that are running in a fully managed environment.Which AWS service should the company use to meet this requirement?,B,A,Amazon S3,Amazon AppStream 2.0,AWS AppSync,AWS Outposts,,,,,
examtopics,CLF-01,67,"A company wants to implement threat detection on its AWS infrastructure. However, the company does not want to deploy additional software.Which AWS service should the company use to meet these requirements?",C,C,Amazon VPC,Amazon EC2,Amazon GuardDuty,AWS Direct Connect,,,,,
examtopics,CLF-01,68,Which AWS service uses edge locations?,B,B,Amazon Aurora,AWS Global Accelerator,Amazon Connect,AWS Outposts,,,,,
examtopics,CLF-01,69,A company needs to install an application in a Docker container.Which AWS service eliminates the need to provision and manage the container hosts?,AC,C,AWS Fargate,Amazon FSx for Windows File Server,Amazon Elastic Container Service (Amazon ECS),Amazon EC2,,,,,
examtopics,CLF-01,70,Which AWS service or feature checks access policies and offers actionable recommendations to help users set secure and functional policies?,B,B,AWS Systems Manager,AWS IAM Access Analyzer,AWS Trusted Advisor,Amazon GuardDuty,,,,,
examtopics,CLF-01,71,"A company has a fleet of cargo ships. The cargo ships have sensors that collect data at sea, where there is intermittent or no internet connectivity. The company needs to collect, format, and process the data at sea and move the data to AWS later.Which AWS service should the company use to meet these requirements?",D,C,AWS IoT Core,Amazon Lightsail,AWS Storage Gateway,AWS Snowball Edge,,,,,
examtopics,CLF-01,72,A retail company needs to build a highly available architecture for a new ecommerce platform. The company is using only AWS services that replicate data across multiple Availability Zones.Which AWS services should the company use to meet this requirement? (Choose two.),ABCD,AB,Amazon EC2,Amazon Elastic Block Store (Amazon EBS),Amazon Aurora,Amazon DynamoDB,Amazon Redshift,,,,
examtopics,CLF-01,73,Which characteristic of the AWS Cloud helps users eliminate underutilized CPU capacity?,B,B,Agility,Elasticity,Reliability,Durability,,,,,
examtopics,CLF-01,74,Service control policies (SCPs) manage permissions for which of the following?,C,C,Availability Zones,AWS Regions,AWS Organizations,Edge locations,,,,,
examtopics,CLF-01,75,Which AWS service can be used to encrypt data at rest?,D,D,Amazon GuardDuty,AWS Shield,AWS Security Hub,AWS Key Management Service (AWS KMS),,,,,
examtopics,CLF-01,76,Which characteristics are advantages of using the AWS Cloud? (Choose two.),BD,BD,A 100% service level agreement (SLA) for all AWS services,Compute capacity that is adjusted on demand,Availability of AWS Support for code development,Enhanced security,Increases in cost and complexity,,,,
examtopics,CLF-01,77,A user is storing objects in Amazon S3. The user needs to restrict access to the objects to meet compliance obligations.What should the user do to meet this requirement?,BD,D,Use AWS Secrets Manager.,Tag the objects in the S3 bucket.,Use security groups.,Use network ACLs.,,,,,
examtopics,CLF-01,78,"A company wants to convert video files and audio files from their source format into a format that will play on smartphones, tablets, and web browsers.Which AWS service will meet these requirements?",A,A,Amazon Elastic Transcoder,Amazon Comprehend,AWS Glue,Amazon Rekognition,,,,,
examtopics,CLF-01,79,Which of the following are benefits of Amazon EC2 Auto Scaling? (Choose two.),AC,AB,Improved health and availability of applications,Reduced network latency,Optimized performance and costs,Automated snapshots of data,Cross-Region Replication,,,,
examtopics,CLF-01,80,"A company has several departments. Each department has its own AWS accounts for its applications. The company wants all AWS costs on a single invoice to simplify payment, but the company wants to know the costs that each department is incurring.Which AWS tool or feature will provide this functionality?",B,B,AWS Cost and Usage Reports,Consolidated billing,Savings Plans,AWS Budgets,,,,,
examtopics,CLF-01,81,A company runs its workloads on premises. The company wants to forecast the cost of running a large application on AWS.Which AWS service or tool can the company use to obtain this information?,A,D,AWS Pricing Calculator,AWS Budgets,AWS Trusted Advisor,Cost Explorer,,,,,
examtopics,CLF-01,82,A company wants to eliminate the need to guess infrastructure capacity before deployments. The company also wants to spend its budget on cloud resources only as the company uses the resources.Which advantage of the AWS Cloud matches the company's requirements?,D,D,Reliability,Global reach,Economies of scale,Pay-as-you-go pricing,,,,,
examtopics,CLF-01,83,"Which AWS service supports a hybrid architecture that gives users the ability to extend AWS infrastructure, AWS services, APIs, and tools to data centers, co- location environments, or on-premises facilities?",C,C,AWS Snowmobile,AWS Local Zones,AWS Outposts,AWS Fargate,,,,,
examtopics,CLF-01,84,A company has a physical tape library to store data backups. The tape library is running out of space. The company needs to extend the tape library's capacity to the AWS Cloud.Which AWS service should the company use to meet this requirement?,D,D,Amazon Elastic Block Store (Amazon EBS),Amazon S3,Amazon Elastic File System (Amazon EFS),AWS Storage Gateway,,,,,
examtopics,CLF-01,85,"An online retail company has seasonal sales spikes several times a year, primarily around holidays. Demand is lower at other times. The company finds it difficult to predict the increasing infrastructure demand for each season.Which advantages of moving to the AWS Cloud would MOST benefit the company? (Choose two.)",BE,BE,Global footprint,Elasticity,AWS service quotas,AWS shared responsibility model,Pay-as-you-go pricing,,,,
examtopics,CLF-01,86,Which AWS service can be used to turn text into lifelike speech?,A,A,Amazon Polly,Amazon Kendra,Amazon Rekognition,Amazon Connect,,,,,
examtopics,CLF-01,87,Which AWS service or tool can be used to capture information about inbound and outbound traffic in an Amazon VPC?,A,A,VPC Flow Logs,Amazon Inspector,VPC endpoint services,NAT gateway,,,,,
examtopics,CLF-01,88,A company wants to ensure that two Amazon EC2 instances are in separate data centers with minimal communication latency between the data centers.How can the company meet this requirement?,B,B,Place the EC2 instances in two separate AWS Regions connected with a VPC peering connection.,Place the EC2 instances in two separate Availability Zones within the same AWS Region.,Place one EC2 instance on premises and the other in an AWS Region. Then connect them by using an AWS VPN connection.,Place both EC2 instances in a placement group for dedicated bandwidth.,,,,,
examtopics,CLF-01,89,In which situations should a company create an IAM user instead of an IAM role? (Choose two.),BD,BD,When an application that runs on Amazon EC2 instances requires access to other AWS services,When the company creates AWS access credentials for individuals,When the company creates an application that runs on a mobile phone that makes requests to AWS,When the company needs to add users to IAM groups,When users are authenticated in the corporate network and want to be able to use AWS without having to sign in a second time,,,,
examtopics,CLF-01,90,Which AWS services should a company use to read and write data that changes frequently? (Choose two.),BE,BD,Amazon S3 Glacier,Amazon RDS,AWS Snowball,Amazon Redshift,Amazon Elastic File System (Amazon EFS),,,,
examtopics,CLF-01,91,Which AWS service is used to provide encryption for Amazon EBS?,C,C,AWS Certificate Manager,AWS Systems Manager,AWS KMS,AWS Config,,,,,
examtopics,CLF-01,92,Which AWS services make use of global edge locations? (Choose two.),BC,BC,AWS Fargate,Amazon CloudFront,AWS Global Accelerator,AWS Wavelength,Amazon VPC,,,,
examtopics,CLF-01,93,"A company is operating several factories where it builds products. The company needs the ability to process data, store data, and run applications with local system interdependencies that require low latency.Which AWS service should the company use to meet these requirements?",C,B,AWS IoT Greengrass,AWS Lambda,AWS Outposts,AWS Snowball Edge,,,,,
examtopics,CLF-01,94,Which of the following is a recommended design principle for AWS Cloud architecture?,D,C,Design tightly coupled components.,Build a single application component that can handle all the application functionality.,Make large changes on fewer iterations to reduce chances of failure.,Avoid monolithic architecture by segmenting workloads.,,,,,
examtopics,CLF-01,95,"A company is designing its AWS workloads so that components can be updated regularly and so that changes can be made in small, reversible increments.Which pillar of the AWS Well-Architected Framework does this design support?",C,B,Security,Performance efficiency,Operational excellence,Reliability,,,,,
examtopics,CLF-01,96,Which of the following acts as an instance-level firewall to control inbound and outbound access?,B,B,Network access control list,Security groups,AWS Trusted Advisor,Virtual private gateways,,,,,
examtopics,CLF-01,97,A company has a workload that will run continuously for 1 year. The workload cannot tolerate service interruptions.Which Amazon EC2 purchasing option will be MOST cost-effective?,A,A,All Upfront Reserved Instances,Partial Upfront Reserved Instances,Dedicated Instances,On-Demand Instances,,,,,
examtopics,CLF-01,98,Which AWS service helps protect against DDoS attacks?,A,A,AWS Shield,Amazon Inspector,Amazon GuardDuty,Amazon Detective,,,,,
examtopics,CLF-01,99,"Using AWS Config to record, audit, and evaluate changes to AWS resources to enable traceability is an example of which AWS Well-Architected Framework pillar?",A,A,Security,Operational excellence,Performance efficiency,Cost optimization,,,,,
examtopics,CLF-01,100,Which AWS tool or feature acts as a VPC firewall at the subnet level?,B,B,Security group,Network ACL,Traffic Mirroring,Internet gateway,,,,,
examtopics,CLF-01,101,Which AWS service can be used to decouple applications?,B,B,AWS Config,Amazon Simple Queue Service (Amazon SQS),AWS Batch,Amazon Simple Email Service (Amazon SES),,,,,
examtopics,CLF-01,102,Which disaster recovery option is the LEAST expensive?,C,C,Warm standby,Multisite,Backup and restore,Pilot light,,,,,
examtopics,CLF-01,103,Which type of AWS storage is ephemeral and is deleted when an Amazon EC2 instance is stopped or terminated?,B,B,Amazon Elastic Block Store (Amazon EBS),Amazon EC2 instance store,Amazon Elastic File System (Amazon EFS),Amazon S3,,,,,
examtopics,CLF-01,104,Which of the following is a characteristic of the AWS account root user?,C,B,The root user is the only user that can be configured with multi-factor authentication (MFA).,The root user is the only user that can access the AWS Management Console.,The root user is the first sign-in identity that is available when an AWS account is created.,The root user has a password that cannot be changed.,,,,,
examtopics,CLF-01,105,"A company hosts an application on an Amazon EC2 instance. The EC2 instance needs to access several AWS resources, including Amazon S3 and AmazonDynamoDB.What is the MOST operationally efficient solution to delegate permissions?",A,A,Create an IAM role with the required permissions. Attach the role to the EC2 instance.,Create an IAM user and use its access key and secret access key in the application.,Create an IAM user and use its access key and secret access key to create a CLI profile in the EC2 instance,Create an IAM role with the required permissions. Attach the role to the administrative IAM user.,,,,,
examtopics,CLF-01,106,Which of the following is a component of the AWS Global Infrastructure?,B,B,Amazon Alexa,AWS Regions,Amazon Lightsail,AWS Organizations,,,,,
examtopics,CLF-01,107,What is the purpose of having an internet gateway within a VPC?,B,B,To create a VPN connection to the VPC,To allow communication between the VPC and the internet,To impose bandwidth constraints on internet traffic,To load balance traffic from the internet across Amazon EC2 instances,,,,,
examtopics,CLF-01,108,Which AWS service allows users to download security and compliance reports about the AWS infrastructure on demand?,C,C,Amazon GuardDuty,AWS Security Hub,AWS Artifact,AWS Shield,,,,,
examtopics,CLF-01,109,A pharmaceutical company operates its infrastructure in a single AWS Region. The company has thousands of VPCs in a various AWS accounts that it wants to interconnect.Which AWS service or feature should the company use to help simplify management and reduce operational costs?,C,D,VPC endpoint,AWS Direct Connect,AWS Transit Gateway,VPC peering,,,,,
