exam_category,exam_type,quiz_id,en_quiz_title,most_vote,correct,en_A,en_B,en_C,en_D,en_E,en_F,ko_quiz_title,ko_A,ko_B,ko_C,ko_D,ko_E,subject,choice_count
udemy,CLF-01,23,"A data analytics company is running a proprietary batch analytics application on AWS and wants to use a storage service which would be accessed by hundreds of EC2 instances simultaneously to append data to existing files. As a Cloud Practitioner, which AWS service would you suggest for this use-case?",A,A,Amazon Elastic File System (Amazon EFS),Instance Store,Amazon Simple Storage Service (Amazon S3),Amazon Elastic Block Store (Amazon EBS),,,,,,,,,,
udemy,CLF-01,24,"A financial services company wants to ensure that its AWS account activity meets the governance, compliance and auditing norms. As a Cloud Practitioner, which AWS service would you recommend for this use-case?",A,A,AWS CloudTrail,AWS Config,AWS Trusted Advisor,Amazon CloudWatch,,,,,,,,,,
udemy,CLF-01,25,"A unicorn startup is building an analytics application with support for a speech-based interface. The application will accept speech-based input from users and then convey results via speech. As a Cloud Practitioner, which solution would you recommend for the given use-case?",A,A,Use Amazon Transcribe to convert speech to text for downstream analysis. Then use Amazon Polly to convey the text results via speech,Use Amazon Translate to convert speech to text for downstream analysis. Then use Amazon Polly to convey the text results via speech,Use Amazon Polly to convert speech to text for downstream analysis. Then use Amazon Translate to convey the text results via speech,Use Amazon Polly to convert speech to text for downstream analysis. Then use Amazon Transcribe to convey the text results via speech,,,,,,,,,,
udemy,CLF-01,26,"A big data analytics company is moving its IT infrastructure from an on-premises data center to AWS Cloud. The company has some server-bound software licenses that it wants to use on AWS. As a Cloud Practitioner, which of the following EC2 instance types would you recommend to the company?",D,D,On-Demand Instance,Reserved Instance (RI),Dedicated Instance,Dedicated Host,,,,,,,,,,
udemy,CLF-01,27,The DevOps team at an IT company is moving 500 GB of data from an EC2 instance to an S3 bucket in the same region. Which of the following scenario captures the correct charges for this data transfer?,D,D,The company would be charged for both the outbound data transfer from EC2 instance as well as the inbound data transfer into the S3 bucket,The company would only be charged for the outbound data transfer from EC2 instance,The company would only be charged for the inbound data transfer into the S3 bucket,The company would not be charged for this data transfer,,,,,,,,,,
udemy,CLF-01,28,Which of the following is a recommended way to provide programmatic access to AWS resources?,C,C,Use IAM user group to access AWS resources programmatically,Create a new IAM user and share the username and password,Use Access Key ID and Secret Access Key to access AWS resources programmatically,Use AWS Multi-Factor Authentication (AWS MFA) to access AWS resources programmatically,,,,,,,,,,
udemy,CLF-01,29,Which tool/service will help you access AWS services using programming language-specific APIs?,B,B,AWS Command Line Interface (CLI),AWS Software Developer Kit (SDK),AWS Management Console,Integrated Development Environments (IDE),,,,,,,,,,
udemy,CLF-01,30,AWS Web Application Firewall (WAF) offers protection from common web exploits at which layer?,B,B,Layer 4 and 7,Layer 7,Layer 3,Layer 4,,,,,,,,,,
udemy,CLF-01,31,A multi-national corporation wants to get expert professional advice on migrating to AWS and managing their applications on AWS Cloud. Which of the following entities would you recommend for this engagement?,D,D,Concierge Support Team,APN Technology Partner,AWS Trusted Advisor,APN Consulting Partner,,,,,,,,,,
udemy,CLF-01,32,A startup wants to migrate its data and applications from the on-premises data center to AWS Cloud. Which of the following options can be used by the startup to help with this migration? (Select two),AC,AC,Leverage AWS Professional Services to accelerate the infrastructure migration,Raise a support ticket with AWS Support for further assistance,Utilize AWS Partner Network (APN) to build a custom solution for this infrastructure migration,Consult moderators on AWS Developer Forums,Use AWS Trusted Advisor to automate the infrastructure migration,,,,,,,,,
udemy,CLF-01,33,A company wants to move to AWS cloud and release new features with quick iterations by utilizing relevant AWS services whenever required. Which of the following characteristics of AWS Cloud does it want to leverage?,C,C,Reliability,Scalability,Agility,Elasticity,,,,,,,,,,
udemy,CLF-01,34,An IT company is planning to migrate from an on-premises environment to AWS Cloud. Which of the following expense areas would result in cost savings when the company moves to AWS Cloud? (Select two),CD,CD,Developer salary,SaaS application license fee,Data center hardware infrastructure expenditure,Data center physical security expenditure,Project manager salary,,,,,,,,,
udemy,CLF-01,35,"A silicon valley based healthcare startup stores anonymized patient health data on Amazon S3. The CTO further wants to ensure that any sensitive data on S3 is discovered and identified to prevent any sensitive data leaks. As a Cloud Practitioner, which AWS service would you recommend addressing this use-case?",B,B,AWS Glue,Amazon Macie,Amazon Polly,AWS Secrets Manager,,,,,,,,,,
udemy,CLF-01,36,A company needs a storage solution for a project wherein the data is accessed less frequently but needs rapid access when required. Which S3 storage class is the MOST cost-effective for the given use-case?,C,C,Amazon S3 Intelligent-Tiering (S3 Intelligent-Tiering),Amazon S3 Standard,Amazon S3 Standard-Infrequent Access (S3 Standard-IA),Amazon S3 Glacier (S3 Glacier),,,,,,,,,,
udemy,CLF-01,37,AWS Shield Advanced provides expanded DDoS attack protection for web applications running on which of the following resources? (Select two),CD,CD,AWS Elastic Beanstalk,Amazon API Gateway,AWS Global Accelerator,Amazon Route 53,AWS CloudFormation,,,,,,,,,
udemy,CLF-01,38,An intern at an IT company provisioned a Linux based On-demand EC2 instance with per-second billing but terminated it within 30 seconds as he wanted to provision another instance type. What is the duration for which the instance would be charged?,A,A,60 seconds,600 seconds,30 seconds,300 seconds,,,,,,,,,,
udemy,CLF-01,39,Which of the following statements are CORRECT regarding the Availability Zone (AZ) specific characteristics of Amazon Elastic Block Store (EBS) and Amazon Elastic File System (Amazon EFS) storage types?,D,D,EBS volume can be attached to one or more instances in multiple Availability Zones (AZ) and EFS file system can be mounted on instances in the same Availability Zone (AZ),EBS volume can be attached to a single instance in the same Availability Zone (AZ) and EFS file system can only be mounted on instances in the same Availability Zone (AZ),EBS volume can be attached to one or more instances in multiple Availability Zones (AZ) and EFS file system can be mounted on instances across multiple Availability Zones (AZ),EBS volume can be attached to a single instance in the same Availability Zone (AZ) whereas EFS file system can be mounted on instances across multiple Availability Zones (AZ),,,,,,,,,,
udemy,CLF-01,40,Which of the following is the MOST cost-effective option to purchase an EC2 Reserved Instance (RI)?,B,B,No upfront payment option with standard 3-years term,Partial upfront payment option with standard 3-years term,No upfront payment option with standard 1-year term,All upfront payment option with the standard 1-year term,,,,,,,,,,
udemy,CLF-01,41,A company wants to identify the optimal AWS resource configuration for its workloads so that the company can reduce costs and increase workload performance. Which of the following services can be used to meet this requirement?,C,C,AWS Cost Explorer,AWS Systems Manager,AWS Compute Optimizer,AWS Budgets,,,,,,,,,,
udemy,CLF-01,42,"A cyber forensics team has detected that AWS owned IP-addresses are being used to carry out malicious attacks. As this constitutes prohibited use of AWS services, which of the following is the correct solution to address this issue?",C,C,"Write an email to Jeff Bezos, the founder of Amazon, with the details of the incident",Contact AWS Developer Forum moderators,Contact AWS Abuse Team,Contact AWS Support,,,,,,,,,,
udemy,CLF-01,43,"A startup wants to provision an EC2 instance for the lowest possible cost for a long-term duration but needs to make sure that the instance would never be interrupted. As a Cloud Practitioner, which of the following options would you recommend?",D,D,EC2 On-Demand Instance,EC2 Dedicated Host,EC2 Spot Instance,EC2 Reserved Instance (RI),,,,,,,,,,
udemy,CLF-01,44,Which of the following AWS services has encryption enabled by default?,A,A,AWS CloudTrail Logs,Amazon Relational Database Service (Amazon RDS),Amazon Elastic Block Store (Amazon EBS),Amazon Elastic File System (Amazon EFS),,,,,,,,,,
udemy,CLF-01,45,Which of the following entities applies patches to the underlying OS for Amazon Aurora?,A,A,The AWS Product Team automatically,The AWS customer by SSHing on the instances,The AWS customer by using AWS Systems Manager,The AWS Support after receiving a request from the customer,,,,,,,,,,
udemy,CLF-01,46,"A research group wants to use EC2 instances to run a scientific computation application that has a fault tolerant architecture. The application needs high-performance hardware disks that provide fast I/O performance. As a Cloud Practitioner, which of the following storage options would you recommend as the MOST cost-effective solution?",D,D,Amazon Simple Storage Service (Amazon S3),Amazon Elastic File System (Amazon EFS),Amazon Elastic Block Store (EBS),Instance Store,,,,,,,,,,
udemy,CLF-01,47,Which of the following AWS services can be used to connect a company's on-premises environment to a VPC without using the public internet?,A,A,AWS Direct Connect,VPC Endpoint,AWS Site-to-Site VPN,Internet Gateway,,,,,,,,,,
udemy,CLF-01,48,"Which AWS services can be used to facilitate organizational change management, part of the Reliability pillar of AWS Well-Architected Framework? (Select three)",BCE,BCE,Amazon Inspector,AWS Config,Amazon CloudWatch,Amazon GuardDuty,AWS CloudTrail,AWS Trusted Advisor,,,,,,,,
udemy,CLF-01,49,Which type of cloud computing does Amazon Elastic Compute Cloud (EC2) represent?,B,B,Software as a Service (SaaS),Infrastructure as a Service (IaaS),Network as a Service (NaaS),Platform as a Service (PaaS),,,,,,,,,,
udemy,CLF-01,50,Which of the following are the storage services offered by the AWS Cloud? (Select two),BD,BD,Amazon Elastic Compute Cloud (Amazon EC2),Amazon Simple Storage Service (Amazon S3),Amazon Simple Queue Service (SQS),Amazon Elastic File System (Amazon EFS),Amazon Simple Notification Service (SNS),,,,,,,,,
udemy,CLF-01,51,Which of the following is a serverless AWS service?,C,C,Amazon EMR,Amazon Elastic Compute Cloud (Amazon EC2),AWS Lambda,AWS Elastic Beanstalk,,,,,,,,,,
udemy,CLF-01,52,Which of the following Amazon S3 storage classes takes the most time to retrieve data (also known as first byte latency)?,D,D,Amazon S3 Glacier Flexible Retrieval,Amazon S3 Standard,Amazon S3 Intelligent-Tiering,Amazon S3 Glacier Deep Archive,,,,,,,,,,
udemy,CLF-01,53,Which of the following AWS services should be used to automatically distribute incoming traffic across multiple targets?,B,B,AWS Elastic Beanstalk,AWS Elastic Load Balancing (ELB),Amazon OpenSearch Service,AWS Auto Scaling,,,,,,,,,,
udemy,CLF-01,54,"A Project Manager, working on AWS for the first time, is confused about how credits are used in AWS. There are two credits available in the manager's account. Credit one is for $100, expires July 2022, and can be used for either Amazon S3 or Amazon EC2. Credit two is for $50, expires December 2022, and can be used only for Amazon EC2. The manager's AWS account has incurred two charges: $1000 for Amazon EC2 and $500 for Amazon S3.What will be the outcome on the overall bill once the credits are used? (Select two)",CE,CE,"Then, credit two is applied to $500 for Amazon S3 usage","Credit one is applied, which expires in July, to Amazon S3 usage which leaves you with a $1000 Amazon EC2 charge and a $400 Amazon S3 charge","Then, credit two is applied to the remaining $900 of Amazon EC2 usage",Only one credit can be used in one billing cycle and the customer has a choice to choose from the available ones,"Credit one is applied, which expires in July, to the Amazon EC2 charge which leaves you with a $900 Amazon EC2 charge and a $500 Amazon S3 charge",,,,,,,,,
udemy,CLF-01,55,Which of the following is CORRECT regarding removing an AWS account from AWS Organizations?,C,C,The AWS account can be removed from AWS Systems Manager,The AWS account must not have any Service Control Policies (SCPs) attached to it. Only then it can be removed from AWS organizations,The AWS account must be able to operate as a standalone account. Only then it can be removed from AWS organizations,Raise a support ticket with AWS Support to remove the account,,,,,,,,,,
udemy,CLF-01,56,Which AWS Support plan provides architectural guidance contextual to your specific use-cases?,A,A,AWS Business Support,AWS Enterprise Support,AWS Developer Support,AWS Enterprise On-Ramp Support,,,,,,,,,,
udemy,CLF-01,57,"The DevOps team at an e-commerce company is trying to debug performance issues for its serverless application built using a microservices architecture. As a Cloud Practitioner, which AWS service would you recommend addressing this use-case?",C,C,Amazon Pinpoint,AWS CloudFormation,AWS X-Ray,AWS Trusted Advisor,,,,,,,,,,
udemy,CLF-01,58,A medical research startup wants to understand the compliance of AWS services concerning HIPAA guidelines. Which AWS service can be used to review the HIPAA compliance and governance-related documents on AWS?,C,C,AWS Systems Manager,AWS Trusted Advisor,AWS Artifact,AWS Secrets Manager,,,,,,,,,,
udemy,CLF-01,59,Which of the following is an AWS database service?,D,D,AWS Glue,AWS Storage Gateway,AWS Database Migration Service (AWS DMS),Amazon Redshift,,,,,,,,,,
udemy,CLF-01,60,Which of the following AWS services support reservations to optimize costs? (Select three),ABD,ABD,Amazon DynamoDB,Amazon Elastic Compute Cloud (Amazon EC2),Amazon DocumentDB,Amazon Relational Database Service (Amazon RDS),Amazon Simple Storage Service (Amazon S3),AWS Lambda,,,,,,,,
udemy,CLF-01,61,"Which security service of AWS is enabled for all AWS customers, by default, at no additional cost?",C,C,AWS Shield Advanced,AWS Web Application Firewall (AWS WAF),AWS Shield Standard,AWS Secrets Manager,,,,,,,,,,
udemy,CLF-01,62,A company wants to have control over creating and using its own keys for encryption on AWS services. Which of the following can be used for this use-case?,A,A,customer managed key (CMK),AWS Secrets Manager,AWS owned key,AWS managed key,,,,,,,,,,
udemy,CLF-01,63,"According to the AWS Cloud Adoption Framework (AWS CAF), what are two tasks that a company should perform when planning to migrate to the AWS Cloud and aiming to become more responsive to customer inquiries and feedback as part of their organizational transformation? (Select two)",BE,BE,Create new analytical insights with existing products and services,Organize your teams around products and value streams,Leverage legacy infrastructure for cost efficiencies,Organize your teams around bureaucratic design principles,Leverage agile methods to rapidly iterate and evolve,,,,,,,,,
udemy,CLF-01,64,Which AWS services can be used to decouple components of a microservices based application on AWS Cloud? (Select two),AD,AD,Amazon Simple Queue Service (SQS),AWS Lambda,AWS Step Functions,Amazon Simple Notification Service (SNS),Amazon Elastic Compute Cloud (Amazon EC2),,,,,,,,,
udemy,CLF-01,65,Which option is a common stakeholder role for the AWS Cloud Adoption Framework (AWS CAF) platform perspective? (Select two),AE,AE,Engineer,Chief Data Officer (CDO),Chief Product Officer (CPO),Chief Information Officer (CIO),Chief Technology Officer (CTO),,,,,,,,,
udemy,CLF-01,66,A social media company wants to protect its web application from common web exploits such as SQL injection and cross-site scripting. Which of the following AWS services can be used to address this use-case?,C,C,AWS CloudWatch,Amazon GuardDuty,AWS Web Application Firewall (AWS WAF),Amazon Inspector,,,,,,,,,,
udemy,CLF-01,67,A retail company has multiple AWS accounts for each of its departments. Which of the following AWS services can be used to set up consolidated billing and a single payment method for these AWS accounts?,C,C,AWS Budgets,AWS Secrets Manager,AWS Organizations,AWS Cost Explorer,,,,,,,,,,
udemy,CLF-01,68,Which of the following statement is correct for a Security Group and a Network Access Control List (Network ACL)?,B,B,Security Group acts as a firewall at the Availability Zone (AZ) level whereas Network Access Control List (Network ACL) acts as a firewall at the VPC level,Security Group acts as a firewall at the instance level whereas Network Access Control List (Network ACL) acts as a firewall at the subnet level,Security Group acts as a firewall at the subnet level whereas Network Access Control List (Network ACL) acts as a firewall at the instance level,Security Group acts as a firewall at the VPC level whereas Network Access Control List (Network ACL) acts as a firewall at the Availability Zone (AZ) level,,,,,,,,,,
udemy,CLF-01,69,"Which AWS service enables users to find, buy, and immediately start using software solutions in their AWS environment?",D,D,AWS OpsWorks,AWS Systems Manager,AWS Config,AWS Marketplace,,,,,,,,,,
udemy,CLF-01,70,"An organization is planning to move its infrastructure from the on-premises datacenter to AWS Cloud. As a Cloud Practioner, which options would you recommend so that the organization can identify the right AWS services to build solutions on AWS Cloud (Select two)?",BD,BD,AWS CloudTrail,AWS Partner Network (APN),Amazon CloudWatch,AWS Service Catalog,AWS Organizations,,,,,,,,,
udemy,CLF-01,71,Which policy describes prohibited uses of the web services offered by Amazon Web Services?,D,D,AWS Trusted Advisor,AWS Fair Use Policy,AWS Applicable Use Policy,AWS Acceptable Use Policy,,,,,,,,,,
udemy,CLF-01,72,AWS Compute Optimizer delivers recommendations for which of the following AWS resources? (Select two),BC,BC,"AWS Lambda functions, Amazon Simple Storage Service (Amazon S3)","Amazon Elastic Block Store (Amazon EBS), AWS Lambda functions","Amazon Elastic Compute Cloud (Amazon EC2) instances, Amazon EC2 Auto Scaling groups","Amazon Elastic Compute Cloud (Amazon EC2) instances, Amazon Elastic File System (Amazon EFS)","Amazon Elastic File System (Amazon EFS), AWS Lambda functions",,,,,,,,,
udemy,CLF-01,73,Which of the following is correct about AWS Developer Support plan?,D,D,Allows unlimited contacts to open a limited number of cases per month,Allows one contact to open a limited number of cases per month,Allows unlimited contacts to open unlimited cases,Allows one contact to open unlimited cases,,,,,,,,,,
udemy,CLF-01,74,"As per the AWS Shared Responsibility Model, which of the following is a responsibility of AWS from a security and compliance point of view?",D,D,Server-side Encryption (SSE),Identity and Access Management,Customer Data,Edge Location Management,,,,,,,,,,
udemy,CLF-01,75,A startup is looking for 24x7 phone based technical support for its AWS account. Which of the following is the MOST cost-effective AWS support plan for this use-case?,B,B,AWS Developer Support,AWS Business Support,AWS Enterprise On-Ramp Support,AWS Enterprise Support,,,,,,,,,,
udemy,CLF-01,76,What are the fundamental drivers of cost with AWS Cloud?,C,C,"Compute, Databases and Inbound Data Transfer","Compute, Storage and Inbound Data Transfer","Compute, Storage and Outbound Data Transfer","Compute, Databases and Outbound Data Transfer",,,,,,,,,,
udemy,CLF-01,77,Which of the following statement is correct regarding the AWS pricing policy for data transfer charges into or out of an AWS Region?,C,C,Both inbound data transfer and outbound data transfer are charged,Neither inbound nor outbound data transfer are charged,Only outbound data transfer is charged,Only inbound data transfer is charged,,,,,,,,,,
udemy,CLF-01,78,Which service gives a personalized view of the status of the AWS services that are part of your Cloud architecture so that you can quickly assess the impact on your business when AWS service(s) are experiencing issues?,D,D,Amazon Inspector,Amazon CloudWatch,AWS Health - Service Health Dashboard,AWS Health - Your Account Health Dashboard,,,,,,,,,,
udemy,CLF-01,79,"A data analytics company stores its data on Amazon Simple Storage Service (Amazon S3) and wants to do SQL based analysis on this data with minimum effort. As a Cloud Practitioner, which of the following AWS services will you suggest for this use case?",C,C,Amazon Redshift,Amazon DynamoDB,Amazon Athena,Amazon Aurora,,,,,,,,,,
udemy,CLF-01,80,"A developer has written a simple web application in PHP and he wants to just upload his code to AWS Cloud and have AWS handle the deployment automatically but still wants access to the underlying operating system for further enhancements. As a Cloud Practioner, which of the following AWS services would you recommend for this use-case?",A,A,AWS Elastic Beanstalk,Amazon Elastic Container Service (Amazon ECS),AWS CloudFormation,Amazon Elastic Compute Cloud (Amazon EC2),,,,,,,,,,
udemy,CLF-01,81,An organization has a complex IT architecture involving a lot of system dependencies and it wants to track the history of changes to each resource. Which AWS service will help the organization track the history of configuration changes for all the resources?,A,A,AWS Config,AWS Service Catalog,AWS CloudTrail,AWS CloudFormation,,,,,,,,,,
udemy,CLF-01,82,Which of the following AWS services are global in scope? (Select two),DE,DE,Amazon Relational Database Service (Amazon RDS),Amazon Elastic Compute Cloud (Amazon EC2),Amazon Simple Storage Service (Amazon S3),Amazon CloudFront,AWS Identity and Access Management (AWS IAM),,,,,,,,,
udemy,CLF-01,83,Which of the following use-cases is NOT supported by Amazon Rekognition?,A,A,Quickly resize photos to create thumbnails,Identify person in a photo,Detect text in a photo,Label objects in a photo,,,,,,,,,,
udemy,CLF-01,84,Which of the following AWS services comes under the Software as a Service (SaaS) Cloud Computing Type?,C,C,Elastic Load Balancing (ELB),Amazon Elastic Compute Cloud (Amazon EC2),Amazon Rekognition,AWS Elastic Beanstalk,,,,,,,,,,
udemy,CLF-01,85,An organization deploys its IT infrastructure in a combination of its on-premises data center along with AWS Cloud. How would you categorize this deployment model?,C,C,Private deployment,Mixed deployment,Hybrid deployment,Cloud deployment,,,,,,,,,,
udemy,CLF-01,86,Which Amazon Elastic Compute Cloud (Amazon EC2) pricing model is the most cost-effective and flexible with no requirement for a long term resource commitment or upfront payment but still guarantees that instance would not be interrupted?,A,A,On-demand Instance,Dedicated Host,Reserved Instance (RI),Spot Instance,,,,,,,,,,
