exam_category,exam_type,quiz_id,quiz_title,most_vote,correct,A,B,C,D,E,F,G,H,I
examtopics,CLF-01,507,"A company has a compliance requirement to record and evaluate configuration changes, as well as perform remediation actions on AWS resources.Which AWS service should the company use?",A,A,AWS Config,AWS Secrets Manager,AWS CloudTrail,AWS Trusted Advisor,,,,,
examtopics,CLF-01,508,What are the advantages of deploying an application with Amazon EC2 instances in multiple Availability Zones? (Choose two.),AD,AD,Preventing a single point of failure,Reducing the operational costs of the application,Allowing the application to serve cross-region users with low latency,Increasing the availability of the application,Increasing the load of the application,,,,
examtopics,CLF-01,509,A workload on AWS will run for the foreseeable future by using a consistent number of Amazon EC2 instances.What pricing model will minimize cost while ensuring that compute resources remain available?,D,D,Dedicated Hosts,On-Demand Instances,Spot Instances,Reserved Instances,,,,,
examtopics,CLF-01,510,Which tool can be used to identify scheduled changes to the AWS infrastructure?,A,A,AWS Personal Health Dashboard,AWS Trusted Advisor,Billing Dashboard,AWS Config,,,,,
examtopics,CLF-01,511,Which of the following is the customer's responsibility when using Amazon RDS?,B,D,Patching the operating system of underlying hardware,Controlling traffic to and from the database through security groups,Running backups that enable point-in-time recovery of a DB instance,Replacing failed DB instances,,,,,
examtopics,CLF-01,512,What is the customer's responsibility when using AWS Lambda?,DB,D,Operating system configuration,Application management,Platform management,Code encryption,,,,,
examtopics,CLF-01,513,A company wants to be notified when its AWS Cloud costs or usage exceed defined thresholds.Which AWS service will support these requirements?,A,A,AWS Budgets,Cost Explorer,AWS CloudTrail,Amazon Macie,,,,,
examtopics,CLF-01,514,Which AWS service provides the ability to host a NoSQL database in the AWS Cloud?,B,B,Amazon Aurora,Amazon DynamoDB,Amazon RDS,Amazon Redshift,,,,,
examtopics,CLF-01,515,Which AWS service allows customers to purchase unused Amazon EC2 capacity at an often discounted rate?,D,D,Reserved Instances,On-Demand Instances,Dedicated Instances,Spot Instances,,,,,
examtopics,CLF-01,516,Which AWS service or feature requires an internet service provider (ISP) and a colocation facility to be implemented?,C,C,AWS VPN,Amazon Connect,AWS Direct Connect,Internet gateway,,,,,
examtopics,CLF-01,517,Which AWS services offer compute capabilities? (Choose two.),AE,AE,Amazon EC2,Amazon S3,Amazon Elastic Block Store (Amazon EBS),Amazon Cognito,AWS Lambda,,,,
examtopics,CLF-01,518,Which AWS service gives users the ability to download compliance reports from third party auditors?,C,C,AWS Lambda,AWS Trusted Advisor,AWS Artifact,AWS Audit Manager,,,,,
examtopics,CLF-01,519,Which AWS service should a cloud practitioner use to identify security vulnerabilities of an AWS account?,D,D,AWS Secrets Manager,Amazon Cognito,Amazon Macie,AWS Trusted Advisor,,,,,
examtopics,CLF-01,520,A company wants to ensure its infrastructure is designed for fault tolerance and business continuity in the event of an environmental disruption.Which AWS infrastructure component should the company replicate across?,BC,B,Edge locations,Availability Zones,Regions,Amazon Route 53,,,,,
examtopics,CLF-01,521,Which AWS service uses a combination of publishers and subscribers?,B,B,AWS Lambda,Amazon Simple Notification Service (Amazon SNS),Amazon Cloud Watch,AWS CloudFormation,,,,,
examtopics,CLF-01,522,Which AWS Cloud design principles can help increase reliability? (Choose two.),CE,CE,Using monolithic architecture,Measuring overall efficiency,Testing recovery procedures,Adopting a consumption model,Automatically recovering from failure,,,,
examtopics,CLF-01,523,A company is planning to launch an ecommerce site in a single AWS Region to a worldwide user base.Which AWS services will allow the company to reach users and provide low latency and high transfer speeds? (Choose two.),BD,AD,Application Load Balancer,AWS Global Accelerator,AWS Direct Connect,Amazon CloudFront,AWS Lambda,,,,
examtopics,CLF-01,524,"A company wants to connect to AWS over a private, low-latency connection from its remote office.What is the recommended method to meet these requirements?",D,D,Create a VPN tunnel,Connect across the public internet,Use VPC peering to create a connection.,Use AWS Direct Connect.,,,,,
examtopics,CLF-01,525,Which AWS service has unlimited free use?,CDB,B,Amazon SageMaker,AWS Config,AWS Organizations,Amazon Cloud Watch,,,,,
examtopics,CLF-01,526,A company has an AWS-hosted website located behind an Application Load Balancer. The company wants to safeguard the website from SQL injection or cross- site scripting.Which AWS service should the company use?,B,B,Amazon GuardDuty,AWS WAF,AWS Trusted Advisor,Amazon Inspector,,,,,
examtopics,CLF-01,527,A company is building an application that will receive millions of database queries each second. The company needs the data store for the application to scale to meet these needs.Which AWS service will meet this requirement?,A,B,Amazon DynamoDB,AWS Cloud9,Amazon Elastic ache for Memcached,Amazon Neptune,,,,,
examtopics,CLF-01,528,A company is running a self-managed Oracle database directly on Amazon EC2 for its steady-state database. The company wants to reduce compute costs.Which option should the company use to maximize savings over a 3-year term?,C,C,EC2 Dedicated Instances,EC2 Spot Instances,EC2 Reserved Instances,EC2 On-Demand Instances,,,,,
examtopics,CLF-01,529,"An external auditor has requested that a company provide a list of all its IAM users, including the status of users' credentials and access keys.What it the SIMPLEST way to provide this information?",C,C,"Create an IAM user account for the auditor, granting the auditor administrator permissions.","Take a screenshot of each user's page in the AWS Management Console, then provide the screenshots to the auditor.","Download the IAM credential report, then provide the report to the auditor.","Download the AWS Trusted Advisor report, then provide the report to the auditor.",,,,,
examtopics,CLF-01,530,What are the benefits of consolidated billing for AWS Cloud services? (Choose two.),AC,CE,Volume discounts,A minimal additional fee for use,One bill for multiple accounts,Installment payment options,Custom cost and usage budget creation,,,,
examtopics,CLF-01,531,"A company is expecting a short-term spike in internet traffic for its application. During the traffic increase, the application cannot be interrupted. The company also needs to minimize cost and maximize flexibility.Which Amazon EC2 instance type should the company use to meet these requirements?",ACB,B,On-Demand Instances,Spot Instances,Reserved Instances,Dedicated Hosts,,,,,
examtopics,CLF-01,532,Which AWS service can convert text to lifelike speech?,A,A,Amazon Polly,Amazon Textract,Amazon Transcribe,Amazon Comprehend,,,,,
examtopics,CLF-01,533,A company is building an application that needs to deliver images and videos globally with minimal latency.Which approach can the company use to accomplish this in a cost effective manner?,A,A,Deliver the content through Amazon CloudFront.,Store the content on Amazon S3 and enable S3 cross-region replication.,Implement a VPN across multiple AWS Regions.,Deliver the content through AWS PrivateLink.,,,,,
examtopics,CLF-01,534,The AWS IAM best practice for granting least privilege is to:,DB,D,apply an IAM policy to an IAM group and limit the size of the group.,require multi-factor authentication (MFA) for all IAM users.,require each IAM user who has different permissions to have multiple passwords.,apply an IAM policy only to IAM users who require it.,,,,,
examtopics,CLF-01,535,A company wants to deploy a highly available third-party firewall appliance.Which AWS service or resource will support this task?,D,A,AWS WAF,AWS Security Hub,AWS Firewall Manager,Gateway Load Balancer,,,,,
examtopics,CLF-01,536,Which of the following are customer responsibilities under the AWS shared responsibility model? (Choose two.),BC,BC,Physical security of AWS facilities,Configuration of security groups,Encryption of customer data on AWS,Management of AWS Lambda infrastructure,Management of network throughput of each AWS Region,,,,
examtopics,CLF-01,537,How can AWS enable a company to control expenses as an application's usage changes unpredictably?,B,B,AWS will refund the cost difference if a customer moves to larger servers.,The application can be built to scale up or down automatically as resources are needed,Spot instances will automatically be used if the price is lower than on-demand instances.,Amazon CloudWatch will automatically predict what resources are needed.,,,,,
examtopics,CLF-01,538,Which AWS service or feature can be used to prevent SQL injection attacks?,C,C,Security groups,Network ACLs,AWS WAF,IAM policy,,,,,
examtopics,CLF-01,539,Which activity is a customer responsibility in the AWS Cloud according to the AWS shared responsibility model?,D,D,Ensuring network connectivity from AWS to the internet,Patching and fixing flaws within the AWS Cloud infrastructure,Ensuring the physical security of cloud data centers,Ensuring Amazon EBS volumes are backed up,,,,,
examtopics,CLF-01,540,Which of the following IT tasks does AWS perform to offload a company's IT resource management responsibilities? (Choose two.),CE,CE,Configuring operating system firewalls,Setting up access controls for data,Backing up databases,Configuring database user accounts,Installing operating systems,,,,
examtopics,CLF-01,541,"According to security best practices, how should an Amazon EC2 instance be given access to an Amazon S3 bucket?",C,C,"Hard code an IAM user's secret key and access key directly in the application, and upload the file.","Store the IAM user's secret key and access key in a text file on the EC2 instance, read the keys, then upload the file.",Have the EC2 instance assume a role to obtain the privileges to upload the file.,Modify the S3 bucket policy so that any service can upload to it at any time.,,,,,
examtopics,CLF-01,542,A user can increase operational efficiency in the AWS Cloud by:,A,A,leveraging AWS managed services.,right-sizing AWS infrastructure.,manually creating all necessary resources.,managing their own software licenses.,,,,,
examtopics,CLF-01,543,Which AWS service automatically handles application health monitoring?,B,B,Amazon API Gateway,AWS Elastic Beanstalk,AWS Lambda,AWS Config,,,,,
examtopics,CLF-01,544,A company wants to test mobile apps on a variety of popular mobile devices.Which AWS service should the company use to achieve this goal?,C,C,AWS IoT Core,AWS Wavelength,AWS Device Farm,AWS Direct Connect,,,,,
examtopics,CLF-01,545,"A company needs to track the activity in its AWS accounts, and needs to know when an API call is made against its AWS resources.Which AWS tool or service can be used to meet these requirements?",C,C,Amazon CloudWatch,Amazon Inspector,AWS Cloud Trail,AWS IAM,,,,,
examtopics,CLF-01,546,"According to the AWS shared responsibility model, which of the following are AWS responsibilities? (Choose two.)",AD,AD,Network infrastructure and virtualization of infrastructure,Security of application data,Guest operating systems,Physical security of hardware,Credentials and policies,,,,
examtopics,CLF-01,547,Which of the following services can be used to block network traffic to an instance? (Choose two.),AC,AC,Security groups,Amazon Virtual Private Cloud (Amazon VPC) flow logs,Network ACLs,Amazon CloudWatch,AWS CloudTrail,,,,
examtopics,CLF-01,548,A company wants to transfer petabytes of data as quickly as possible from on-premises locations to the AWS Cloud.Which AWS service should the company use?,A,A,AWS Snowball,AWS Global Accelerator,Amazon S3 Transfer Acceleration,Amazon Connect,,,,,
examtopics,CLF-01,549,"A company wants to use a web browser to run. test, and debug AWS Lambda functions in an integrated development environment (IDE).Which AWS service provides this functionality?",A,C,AWS Cloud9,Amazon CodeGuru,AWS CodeDeploy,AWS CodeCommit,,,,,
examtopics,CLF-01,550,A company hosts images in an Amazon S3 bucket for a public-facing website that is viewed by millions of users around the globe.Which AWS service will deliver this content with reduced latency?,C,C,AWS WAF,Amazon CloudWatch,Amazon Cloud Front,AWS CloudFormation,,,,,
examtopics,CLF-01,551,An auditor needs to find out whether a specific AWS service is compliant with specific compliance frameworks.Which AWS service will provide this information?,A,A,AWS Artifact,AWS Trusted Advisor,Amazon GuardDuty,AWS Certificate Manager (ACM),,,,,
examtopics,CLF-01,552,A company wants to securely access an Amazon S3 bucket from an Amazon EC2 instance without accessing the internet.What should the company use to accomplish this goal?,C,C,VPN connection,Internet gateway,VPC endpoint,NAT gateway,,,,,
examtopics,CLF-01,553,Which statement is true about AWS global infrastructure?,C,C,Availability Zones can span multiple AWS Regions.,A VPC can have different subnets in different AWS Regions.,AWS Regions consist of multiple Availability Zones.,A single subnet can span multiple Availability Zones.,,,,,
examtopics,CLF-01,554,Which AWS service or feature provides information about ongoing or upcoming scheduled events that can affect an AWS account?,C,C,AWS Config,AWS Systems Manager,AWS Personal Health Dashboard,AWS Trusted Advisor,,,,,
examtopics,CLF-01,555,A company is planning to move data backups to the AWS Cloud. The company needs to replace on-premises storage with storage that is cloud-based but locally cached.Which AWS service meets these requirements?,A,D,AWS Storage Gateway,AWS Snowcone,AWS Backup,Amazon Elastic File System (Amazon EFS),,,,,
examtopics,CLF-01,556,A media company wants to distribute video content to millions of users worldwide over the internet. The company wants to use the AWS global network backbone to distribute cached content with low latency and high data transfer speeds.Which AWS service will meet these requirements?,A,A,Amazon CloudFront,AWS Global Accelerator,AWS Direct Connect,Amazon Connect,,,,,
examtopics,CLF-01,557,"The AWS global infrastructure consists of Regions, Availability Zones, and what else?",DB,B,VPCs,Data centers,Dark fiber network links,Edge locations,,,,,
examtopics,CLF-01,558,Which AWS Trusted Advisor feature is available exclusively to users with AWS Business Support or AWS Enterprise Support?,C,C,Notification setup,Refresh checks,AWS Support API,Action links,,,,,
examtopics,CLF-01,559,A company is required to store its data close to its primary users.Which benefit of the AWS Cloud supports this requirement?,DB,D,Security,High availability,Elasticity,Global footprint,,,,,
examtopics,CLF-01,560,Which of the following contribute to total cost of ownership of a workload running in the AWS Cloud? (Choose two.),CE,BD,Hardware maintenance,Power and cooling,Storage costs,Space for data center,Network costs,,,,
examtopics,CLF-01,561,"Using AWS Identity and Access Management (IAM), what can be attached to an Amazon EC2 instance to make service requests?",B,B,Group,Role,Policy,Access key,,,,,
examtopics,CLF-01,562,"A company previously lost data that was stored in an on-premises data center. To protect against future loss of data, the company wants to use AWS to automatically launch thousands of its machines in a fully provisioned state in minutes, in a format that supports data restoration.Which AWS service should the company use to meet these requirements?",C,C,AWS Direct Connect,AWS Storage Gateway,CloudEndure Disaster Recovery,AWS Backup,,,,,
examtopics,CLF-01,563,Which aspect of AWS infrastructure enables global deployment of compute and storage?,BA,A,Availability Zones,Regions,Tags,Resource groups,,,,,
examtopics,CLF-01,564,A security officer wants to enable IPsec communications to securely connect users from on-premises networks to AWS.Which AWS service or feature should the officer use?,B,B,Amazon VPC,AWS VPN,AWS Direct Connect,Amazon Connect,,,,,
examtopics,CLF-01,565,Which of the following can be used to describe infrastructure as code in the AWS Cloud?,B,B,AWS CLI,AWS CloudFormation,AWS CodeDeploy,AWS Amplify,,,,,
examtopics,CLF-01,566,Which of the following are benefits of running a database on Amazon RDS compared to an on-premises database? (Choose two.),AD,AD,RDS backups are managed by AWS.,RDS supports any relational database.,RDS has no database engine licensing costs.,RDS database compute capacity can be easily scaled.,"RDS inbound traffic control (for example, security groups) is managed by AWS.",,,,
examtopics,CLF-01,567,Which AWS service is designed to help users who want to use machine learning for natural language processing (NLP) but do not have experience in machine learning?,AB,A,Amazon Comprehend,Amazon SageMaker,AWS Deep Learning AMIs (DLAMI),Amazon Rekognition,,,,,
examtopics,CLF-01,568,Which AWS service or feature allows a user to establish a dedicated network connection between a company's on-premises data center and the AWS Cloud?,A,A,AWS Direct Connect,VPC peering,AWS VPN,Amazon Route 53,,,,,
examtopics,CLF-01,569,"A company needs 24/7 phone, email, and chat access, with a response time of less than 1 hour if a production system has a service interruption.Which AWS Support plan meets these requirements at the LOWEST cost?",C,C,Basic,Developer,Business,Enterprise,,,,,
examtopics,CLF-01,570,How can a user achieve high availability for a web application hosted on AWS?,B,B,Use a Classic Load Balancer across multiple AWS Regions.,Use an Application Load Balancer across multiple Availability Zones in one AWS Region.,Set up automatic scaling and load balancing with another application instance running on premises.,Use the AWS Region with the highest number of Availability Zones.,,,,,
examtopics,CLF-01,571,A company is launching a new application in the AWS Cloud. The application will run on an Amazon EC2 instance. More EC2 instances will be needed when the workload increases.Which AWS service or tool can the company use to launch the number of EC2 instances that will be needed to handle the workload?,B,B,Elastic Load Balancing,Amazon EC2 Auto Scaling,AWS App2Container (A2C),AWS Systems Manager,,,,,
examtopics,CLF-01,572,What AWS billing support resource is available to all support levels?,B,B,AWS Support concierge,AWS Customer Service,AWS technical account manager,AWS Business Support,,,,,
examtopics,CLF-01,573,Which AWS services help to improve application performance by reducing latency while accessing content globally? (Choose two.),AD,AD,Amazon CloudFront,AWS VPN,AWS Direct Connect,AWS Global Accelerator,Amazon S3 Glacier,,,,
examtopics,CLF-01,574,Which AWS service provides the ability to quickly run one-time queries on data in Amazon S3?,D,D,Amazon EMR,Amazon DynamoDB,Amazon Redshift,Amazon Athena,,,,,
examtopics,CLF-01,575,Which task requires the use of AWS account root account user credentials?,A,A,Closing an AWS account,Creating a log file,Modifying IAM user permissions,Deleting IAM users,,,,,
examtopics,CLF-01,576,Which AWS service does AWS Snowball Edge natively support?,D,D,AWS Server Migration Service (AWS SMS),Amazon Aurora,AWS Trusted Advisor,Amazon EC2,,,,,
examtopics,CLF-01,577,A company is building a new archiving system on AWS that will store terabytes of data. The company will NOT retrieve the data often.Which Amazon S3 storage class will MINIMIZE the cost of the system?,B,A,S3 Standard-Infrequent Access (S3 Standard-IA),S3 Glacier,S3 Intelligent-Tiering,S3 One Zone-Infrequent Access (S3 One Zone-IA),,,,,
examtopics,CLF-01,578,"Which type of AWS infrastructure deployment puts AWS compute, storage, database, and other select services closer to end users to run latency-sensitive applications?",C,C,AWS Regions,Availability Zones,Local Zones,Edge locations,,,,,
examtopics,CLF-01,579,"Which AWS service enables users to monitor for specific phrases, values, or patterns and set up alarms based on metrics?",D,D,AWS IQ,Amazon Comprehend,AWS CloudTrail,Amazon CloudWatch Logs,,,,,
examtopics,CLF-01,580,A company wants durable storage for static content and infinitely scalable data storage infrastructure at the lowest cost.Which AWS service should the company choose?,B,B,Amazon Elastic Block Store (Amazon EBS),Amazon S3,AWS Storage Gateway,Amazon Elastic File System (Amazon EFS),,,,,
examtopics,CLF-01,581,Which cloud computing advantage is a company applying when it uses AWS Regions to increase application availability to users in different countries?,D,C,Pay-as-you-go pricing,Capacity forecasting,Economies of scale,Global reach,,,,,
examtopics,CLF-01,582,A user has an AWS account with a Business-level AWS Support plan and needs assistance with handling a production service disruption.Which action should the user take?,D,D,Contact the dedicated AWS technical account manager (TAM).,Contact the dedicated AWS Concierge Support team.,Open a business-critical system down support case.,Open a production system down support case.,,,,,
examtopics,CLF-01,583,A company is looking for a way to encrypt data stored on Amazon S3.Which AWS managed service can be used to help to accomplish this?,D,D,AWS Certificate Manager (ACM),AWS Secrets Manager,AWS Resource Access Manager,AWS Key Management Service (AWS KMS),,,,,
examtopics,CLF-01,584,"When a user wants to utilize their existing per-socket, per-core, or per-virtual machine software licenses for a Microsoft Windows server running on AWS, whichAmazon EC2 instance type is required?",C,C,Spot Instances,Dedicated Instances,Dedicated Hosts,Reserved Instances,,,,,
examtopics,CLF-01,585,How can consolidated billing within AWS Organizations help lower overall monthly expenses?,B,A,By providing a consolidated view of monthly billing across multiple accounts,By pooling usage across multiple accounts to achieve a pricing tier discount,By automating the creation of new accounts through APIs,By leveraging service control policies (SCPs) for centralized service management,,,,,
examtopics,CLF-01,586,A solutions architect needs to maintain a fleet of Amazon EC2 instances so that any impaired instances are replaced with new ones.Which AWS service should the solutions architect use?,D,D,Amazon Elastic Container Service (Amazon ECS),Amazon GuardDuty,AWS Shield,AWS Auto Scaling,,,,,
examtopics,CLF-01,587,An application deployed in the AWS Cloud has unpredictable usage patterns and is running workloads that cannot be interrupted.What is the MOST cost-effective Amazon EC2 pricing option for this application?,DC,D,Dedicated Instances,Spot Instances,Reserved Instances,On-Demand Instances,,,,,
examtopics,CLF-01,588,A company is migrating its on-premises data center to AWS and wants to provide NFS access to its Linux clients.Which AWS service should the company use?,B,B,Amazon S3,Amazon Elastic File System (Amazon EFS),Amazon Elastic Block Store (Amazon EBS),Amazon S3 Glacier,,,,,
examtopics,CLF-01,589,An application is receiving SQL injection attacks from multiple external resources.Which AWS service or feature can help automate mitigation against these attacks?,A,A,AWS WAF,Security groups,Elastic Load Balancer,Network ACL,,,,,
examtopics,CLF-01,590,Which AWS service enables risk auditing of an AWS account by tracking and recording user actions and source IP addresses?,D,D,AWS X-Ray,AWS Shield,AWS Trusted Advisor,AWS CloudTrail,,,,,
examtopics,CLF-01,591,A company has a MySQL database running on a single Amazon EC2 instance. The company now requires higher availability in the event of an outage.Which set of tasks would meet this requirement?,C,C,Add an Application Load Balancer in front of the EC2 instance.,Configure EC2 Auto Recovery to move the instance to another Availability Zone.,Migrate to Amazon RDS and enable Multi-AZ.,Enable termination protection for the EC2 instance to avoid outages.,,,,,
examtopics,CLF-01,592,A company must process a large amount of data from social media accounts by making graphical queries with high throughput.Which AWS service will help the company design a cloud architecture that will meet these requirements?,C,C,Amazon RDS,Amazon DynamoDB,Amazon Neptune,Amazon Redshift,,,,,
examtopics,CLF-01,593,Which databases are available on Amazon RDS? (Choose two.),BE,DE,Sybase,Microsoft SQL Server,IBM Db2,MongoDB,PostgreSQL,,,,
examtopics,CLF-01,594,"Under the AWS shared responsibility model, what is the customer's responsibility when using an AWS managed service?",CAB,C,Physical security of the data centers,Server-side encryption,Customer data,Operating system patching,,,,,
examtopics,CLF-01,595,"Which service is an AWS-managed Hadoop framework that makes it easy, fast, and cost-effective to process large amounts of data across dynamically scalableAmazon EC2 instances?",A,A,Amazon EMR,Amazon EC2,AWS Elastic Beanstalk,Amazon Redshift,,,,,
examtopics,CLF-01,596,A company wants its Amazon EC2 instances to share the same geographic area but use multiple independent underlying power sources.Which solution achieves this goal?,C,C,Use EC2 instances in a single Availability Zone.,Use EC2 instances in multiple AWS Regions.,Use EC2 instances in multiple Availability Zones in the same AWS Region.,Use EC2 instances in the same edge location and the same AWS Region.,,,,,
examtopics,CLF-01,597,A company spends several months upgrading its on-premises infrastructure every few years. The company wants to reduce infrastructure procurement time by migrating to the AWS Cloud.What is the main benefit of migrating to the AWS Cloud for this use case?,B,B,AWS will help move the existing hardware to the AWS data centers.,The company will have increased agility with on-demand access to IT resources.,Enterprise support will be available to help with recurring application installation and setup.,The company will experience less downtime with Multi-AZ deployments.,,,,,
examtopics,CLF-01,598,"According to the AWS shared responsibility model, when using Amazon RDS, who is responsible for scheduling and performing backups?",BA,C,AWS is responsible for both tasks.,The customer is responsible for scheduling and AWS is responsible for performing backups.,The customer is responsible for both tasks.,AWS is responsible for scheduling and the user is responsible for performing backups.,,,,,
examtopics,CLF-01,599,Which of the following can be used to identify a specific user who stopped an Amazon EC2 instance?,AC,C,AWS CloudTrail,Amazon Inspector,Amazon CloudWatch,VPC Flow Logs,,,,,
examtopics,CLF-01,600,A company has a managed IAM policy that does not grant the necessary permissions for users to accomplish required tasks.How can this be resolved?,B,B,Enable AWS Shield Advanced,Create a custom IAM policy,Use a third-party web application firewall (WAF) managed rule from the AWS Marketplace,Use AWS Key Management Service (AWS KMS) to create a customer-managed key,,,,,
examtopics,CLF-01,601,Which pricing model will interrupt a running Amazon EC2 instance if capacity becomes temporarily unavailable?,C,C,On-Demand Instances,Standard Reserved Instances,Spot Instances,Convertible Reserved Instances,,,,,
examtopics,CLF-01,602,Which security-related task is the responsibility of the customer in the AWS Cloud?,D,D,Securing infrastructure at data centers,Maintaining firewall configurations at a hardware level,Maintaining networking among hardware components,Maintaining server-side encryption,,,,,
examtopics,CLF-01,603,"Which AWS service acts as a data extract, transform, and load (ETL) tool to make it easy to prepare data for analytics?",C,C,Amazon QuickSight,Amazon Athena,AWS Glue,AWS Elastic Beanstalk,,,,,
examtopics,CLF-01,604,A company recently migrated to AWS and wants to enable intelligent threat protection and continuous monitoring across all of its AWS accounts.Which AWS service should the company use to achieve this goal?,B,B,Amazon Macie,Amazon GuardDuty,AWS Shield,Amazon Detective,,,,,
examtopics,CLF-01,605,A user can optimize Amazon EC2 costs by performing which of the following tasks? (Choose two.),ADACBCABDE,BC,Implementing Auto Scaling groups to add and remove instances based on demand.,Creating a policy to restrict IAM users from creating new instances.,Setting a budget to limit spending on EC2 instances using AWS Budgets.,Purchasing Reserved Instances.,Adding EC2 instances to a second AWS Region that is geographically close to the end users.,,,,
examtopics,CLF-01,606,Which AWS services or features help decrease network latency for a globally dispersed user base? (Choose two.),CE,BD,Amazon VPC,Elastic Load Balancer,Amazon CloudFront,AWS Direct Connect,AWS Global Accelerator,,,,
examtopics,CLF-01,607,AWS Trusted Advisor can monitor and provide advice on what characteristics of an AWS account? (Choose two.),ADBDA,BD,Compliance with security best practices,Application performance,Network utilization,Cost optimization,Compliance status,,,,
examtopics,CLF-01,608,Which AWS service would identify if unrestricted access to a resource has been allowed by a security group?,A,A,AWS Trusted Advisor,Amazon CloudWatch,VPC Flow Logs,AWS CloudTrail,,,,,
examtopics,CLF-01,609,Which AWS service or component allows inbound traffic from the internet to access a VPC?,A,A,Internet gateway,NAT gateway,AWS WAF,VPC peering,,,,,
examtopics,CLF-01,610,Which architecture concept describes the ability to deploy resources on demand and release resources when they are no longer needed?,D,D,High availability,Decoupled architecture,Resilience,Elasticity,,,,,
